Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3tHX6gPCmUa2yGRSfNaSLk,"2wPsNCwhEGb0KvChZ5DD52,2Bu3DMTHHdXW4jnhoWHhPa","Mahaprabho","Ayyappa Devotional Songs Malayalam, Vol. 6","K. J. Yesudas,Chorus",1986,322481,23,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:46:56Z,"filmi,mollywood,vintage broadway",0.652,0.718,2,-4.832,1,0.035,0.224,0.00226,0.264,0.743,172.787,4
4dtrzmd3qQYEMcymL7IdIG,"2ae6PxICSOZHvjqiCcgon8","Hari Hara Chandana","Harivarasanam - Ayyappan Telugu Devotional Songs","S. P. Balasubrahmanyam",2016-12-15,272326,22,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:46:59Z,"filmi",0.611,0.38,5,-12.397,1,0.078,0.904,0.000802,0.107,0.776,99.014,4
1w9rF3HptHW5VdlOFdJEXZ,"2wPsNCwhEGb0KvChZ5DD52,2Bu3DMTHHdXW4jnhoWHhPa","Makaranila Kulir","Ayyappa Devotional Songs Malayalam, Vol. 6","K. J. Yesudas,Chorus",1986,358922,23,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:02Z,"filmi,mollywood,vintage broadway",0.722,0.392,4,-8.701,1,0.0394,0.771,0.0553,0.321,0.56,82.881,3
5wRyz8RAyYmUekqOva4W9g,"2wPsNCwhEGb0KvChZ5DD52,2Bu3DMTHHdXW4jnhoWHhPa","Akhilanda Brahmathin","Ayyappa Devotional Songs Malayalam, Vol. 6","K. J. Yesudas,Chorus",1986,266422,24,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:05Z,"filmi,mollywood,vintage broadway",0.584,0.692,2,-3.974,1,0.0439,0.495,0,0.0483,0.873,185.101,3
4ckjW8RXubfvTEBOEXeggO,"4Jn4bjuwcEZNIJtxaGIdkj","Okatava Mettu","Sri Ayyappa Bhakthi Maala - Telugu Devotional Songs","Kalluri Muralikrishna",2012-02-15,257018,22,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:07Z,"telugu devotional",0.684,0.804,3,-7.138,1,0.0873,0.858,0,0.0755,0.965,115.506,4
0aGo17TJORKpRmw9YZmCMX,"4tGWdSKKqKmaVQogfAFnlx","Chellatha","Tamil Top 30 Devotional Songs","L. R. Eswari",1980-08-01,207293,28,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:11Z,"classic kollywood,filmi",0.507,0.595,7,-9.669,1,0.131,0.828,0.17,0.419,0.819,79.856,3
48XiNpyocmJLOIKkytOOL3,"2spmKkD1aaIwksnFrAghRL","Vathapi Ganapathim","Deiva Sthuthi Telugu Devotional Songs","Ghantasala",2005-01-01,138973,27,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:14Z,"classic tollywood,filmi",0.681,0.742,1,-10.326,1,0.0722,0.874,0.000464,0.12,0.873,109.252,4
5h1x4lgE7nLoNYlMDTTmYw,"2wPsNCwhEGb0KvChZ5DD52,2Bu3DMTHHdXW4jnhoWHhPa","Manathu Makaravilakku","Ayyappa Devotional Songs Malayalam, Vol. 6","K. J. Yesudas,Chorus",1986,226847,22,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:17Z,"filmi,mollywood,vintage broadway",0.786,0.867,7,-4.814,1,0.0397,0.453,0.0103,0.183,0.96,103.268,4
2yB28iviNTQksof447lVgi,"2ae6PxICSOZHvjqiCcgon8","Swamy Ayyappa","Harivarasanam - Ayyappa Kannada Devotional Songs","S. P. Balasubrahmanyam",2016-12-15,431673,22,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:20Z,"filmi",0.536,0.681,1,-5.856,1,0.114,0.804,0,0.773,0.586,106.452,4
3USYdPZSH1Ihg4JUHhu6Z4,"4y01WeCT5mNIAYRPjJ4sgj","Ullam Uruguthaiah Part 2","Tamil Basic Devotional Songs Vol.4","T. M. Soundararajan",2012-02-02,370906,28,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:25Z,"classic kollywood,filmi",0.335,0.386,2,-12.26,0,0.0853,0.967,0.00138,0.334,0.828,170.769,3
69pE4zBaZnOJw5VY1ZIZgw,"2spmKkD1aaIwksnFrAghRL","Suklambaratharam","Deiva Sthuthi Telugu Devotional Songs","Ghantasala",2005-01-01,50561,24,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:29Z,"classic tollywood,filmi",0.564,0.242,5,-11.843,0,0.051,0.966,0.000489,0.133,0.417,79.713,3
2ynE53NXYp4ioTwfYsE8Hb,"1YAPinowtHEyoMb9TmVRKN,07pfRuQX86iRuYx3gPCtXD","Gana Gana Ganapathi (Ayyappan Devotional Song)","Vazhikattum Ayyappan (Tamil Devotional Songs)","Buddies Audio,T. L. Maharajan",2019-11-27,343732,17,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:39Z,"classic kollywood",0.512,0.687,5,-6.601,1,0.0762,0.175,0,0.133,0.702,112.533,1
3zlftY1edh86yON5o30Vee,"2NoJ7NuNs9nyj8Thoh1kbu","Shree Hanuman Chalisa (From Shree Hanuman Chalisa (Hanuman Ashtak))","Top Devotional Songs","Hariharan",2019-10-23,586075,20,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:43Z,"filmi,ghazal,tamil pop",0.589,0.885,4,-3.4,1,0.035,0.545,0,0.132,0.831,91.01,4
2F4dgjs022h7rxjzyVNS3T,"0LyfQWJT6nXafLPZqxe9Of","Govinda Hari Govinda","Sri Venkateswara Suprabatham & Devotional Songs","Various Artists",2002-05-01,409893,19,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:46Z,"",0.626,0.454,5,-9.71,0,0.042,0.705,0,0.143,0.858,86.625,4
4I7tfXVQJcnq7F5bOhv3tp,"5cB4d4jPYjMT326sjihQ4m","Krishna","Krishna Hai Shraddha: A Celebration of Great Devotional Songs: 2006-2011","Shaan",2011-01-01,529773,23,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:52Z,"desi pop,filmi,modern bollywood",0.689,0.388,1,-11.757,0,0.0361,0.605,0.000328,0.136,0.182,139.971,4
1TDsM5t3PuF6Sy9Ay5oVK3,"2wPsNCwhEGb0KvChZ5DD52","Harivarasanam","Harivarasanam - Ayyappan Tamil Devotional Songs","K. J. Yesudas",2016-12-15,302654,20,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:55Z,"filmi,mollywood",0.657,0.513,2,-8.704,0,0.0879,0.518,0,0.0499,0.917,144.707,3
4aCMSVKXs6P1YHgLez9Ucv,"7LegVNEPWQREPgxooPgGNn","Ksheerabdhi Kanyakaku","Devotional Songs Telugu - Y.V.S. Padmavathi","Mrs Y. V. S. Padmavathi",1997-12-31,200306,20,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:47:57Z,"",0.584,0.136,1,-16.326,1,0.0355,0.964,0.0000111,0.104,0.391,143.355,5
44FmXPxupECHpP6DtFY0KW,"58MHqzMYj4y4hs53HGz7zF","Jai Adhya Shakti - Ambe Maa Ni Aarti","Navratri Special (Gujarati Devotional Songs)","Sanjeevani Bhelande",2014-09-19,737100,23,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:00Z,"mantra,marathi devotional,marathi traditional",0.669,0.49,1,-8.979,1,0.0294,0.149,0,0.114,0.362,100.052,4
6rcgIyCVusRiGGp28e9Vb8,"4hkB2bR5ek6lJChj6aunCn","Man Mera Mandir,Shiv Meri Puja","Top Devotional Songs","Anuradha Paudwal",2019-10-23,373463,18,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:04Z,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.289,0.718,11,-5.774,0,0.0382,0.957,0.00658,0.32,0.355,81.5,4
54wf70hGk0V5bwcJuxnaYG,"5zHvLzCYvhvEOnLFATw6YH","Gantanu Kattu","Harivarasanam - Ayyappa Kannada Devotional Songs","Veeramani Raju",2016-12-15,353619,19,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:07Z,"tamil devotional",0.367,0.549,0,-10.101,1,0.0612,0.819,0,0.251,0.621,85.093,4
5k0PS136gNagxTBq6fcVyu,"5DFcPb827EcKV3iZCVyDdm","Radha Dhundh Rahi","Shrinathji Satsang (Best Devotional Songs of Shrinathji)","Vilasben Savani",2014,407066,20,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:14Z,"",0.433,0.581,10,-9.248,0,0.0481,0.762,0,0.32,0.899,127.754,4
7y8amHBTRbRmtMMtNi6fCR,"1M2xexePOb4sNuijD3iAma","Enni Enni Sthuthikkuvan","Anantha Sneham (Christian Devotional Songs)","Wilswaraj",2006-07-07,335080,22,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:17Z,"",0.664,0.449,9,-9.569,1,0.0363,0.4,0,0.252,0.396,84.984,4
2x84qIojUQi2Dbf5eIRdGg,"2uoIxIrAOu7fp56L9LEsps","O En Snehame","O Snehame - Malayalam Christian Devotional Songs","Hentry Kuruvila & Latha Hentry",2011-02-09,226142,23,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:19Z,"malayalam worship",0.582,0.305,0,-12.842,1,0.0321,0.792,0.0000236,0.106,0.562,79.985,4
0uGspeAqx8D3yekFf9L8JB,"52Pkm1sJl8ue3jI6Uxf2MR","Kadana Kadalil","O Snehame - Malayalam Christian Devotional Songs","Kuldeep M Pai",2011-02-09,370155,22,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:22Z,"malayalam worship",0.326,0.65,2,-8.304,0,0.038,0.678,0,0.214,0.613,80.812,4
0qiNlheOEPbaDSnsm3EfNg,"3K9qRRRqtuxgBRLxRCxpDl","Omanichennu","O Snehame - Malayalam Christian Devotional Songs","Srinivas",2011-02-09,247013,21,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:25Z,"filmi,mollywood,tamil pop",0.683,0.486,9,-8.686,1,0.0306,0.814,0.00000182,0.0988,0.347,120.057,3
4REp2VhQdaKxwwVWJ072Yk,"5DFcPb827EcKV3iZCVyDdm","Mithe Ras Se Bharodi","Shrinathji Satsang (Best Devotional Songs of Shrinathji)","Vilasben Savani",2014,540160,19,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:28Z,"",0.452,0.537,7,-9.321,0,0.0443,0.655,0,0.158,0.825,91.416,4
5VZ6lZj7VVPSWwktlTrTrp,"3IlZ9EEJY2SyYPCZesng9H","Amar Chetana Chaitanya Kore","Devotional Songs Of Pannalal Bhattachariya","Pannalal Bhattacharya",1966-02-01,183973,20,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:30Z,"classic bangla pop",0.367,0.311,5,-13.196,0,0.0388,0.901,0,0.341,0.635,139.145,3
4JnZ5vEQ04WwEi3WWz82qh,"216q9vNwq54jnCd15Fa80l","Nee Yente Sankethavum","Anantha Sneham (Christian Devotional Songs)","Samson Kottoor",2006-07-07,473293,24,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:35Z,"malayalam worship",0.283,0.396,4,-9.585,0,0.0318,0.591,0,0.0922,0.124,72.633,4
6zGDpBy2eX3Dj0lojf5zJw,"75HAL44LxgiktGqiyaf1B9,7uJoFfJqsPS85gj6DnNZCD,3xiRYC7WY8nSz2xhTKmkGg,3u1EzbSdM0RRLIQn6puKoY","Nodu Nodu Kannara","Kannada Devotional Songs Vol-2","Manjula Gururaj,B.K. Sumitra,H. R. Krishnamurthy,Soumya",2001-07-26,285347,19,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:38Z,"kannada bhava geethe,sandalwood",0.58,0.311,4,-15.103,0,0.0467,0.946,0.149,0.108,0.715,158.143,3
7mFFj13Ms0uRCj1pk0jhaa,"3lbH6noLPe7Pn1ryAbtBBq","Yehi man me Baba hai har dam hamare","God's Gift: Hindi Devotional Songs","Brahma Kumaris",2008-11-11,413666,21,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:41Z,"world meditation",0.587,0.305,1,-11.714,1,0.0269,0.761,0.0000242,0.137,0.609,110.723,4
0d0st9IRmHMFR0DV8fEW5f,"7mlyuQNP02Vp1Jyio9KJrO","Suzhipottu","Hindu Devotional Songs Vol. 2","Pushpavanam Kuppusamy",2020-09-30,350166,21,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:44Z,"",0.424,0.913,2,-3.888,1,0.0856,0.768,0,0.344,0.785,103.03,4
2fs6u2WCYTuH0QgnEMrQBP,"5VecG3ecexYsmnGAjccV9P","Gopal Maro Paraniye Jule","Shrinathji Satsang (Best Devotional Songs of Shrinathji)","Pravinaben Rajput",2014,401867,18,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:50Z,"",0.49,0.619,3,-7.134,1,0.0392,0.651,0,0.107,0.686,145.841,3
2Q8sLWXZFhCAm72gF7j23o,"75HAL44LxgiktGqiyaf1B9,7uJoFfJqsPS85gj6DnNZCD,3xiRYC7WY8nSz2xhTKmkGg,0RbhxrMa9aLsmWbNneEMLo,3nhgiSmR0ekFtCTveAuWpX,0qBLXkziuBou13bmjY5z8i,3u1EzbSdM0RRLIQn6puKoY","Nambide Ninna Nagabharana","Kannada Devotional Songs Vol-1","Manjula Gururaj,B.K. Sumitra,H. R. Krishnamurthy,K.S. Surekha,B. R. Chaya,Nanditha,Soumya",2001-07-26,201920,21,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:54Z,"kannada bhava geethe,sandalwood,filmi",0.665,0.728,1,-1.949,1,0.0282,0.756,0,0.0832,0.73,134.873,4
3iPa1Sz7xLWKe2mtIya2F0,"75HAL44LxgiktGqiyaf1B9,7uJoFfJqsPS85gj6DnNZCD,3xiRYC7WY8nSz2xhTKmkGg,0RbhxrMa9aLsmWbNneEMLo,3nhgiSmR0ekFtCTveAuWpX,0qBLXkziuBou13bmjY5z8i,3u1EzbSdM0RRLIQn6puKoY","Bhadrapada Masa","Kannada Devotional Songs Vol-1","Manjula Gururaj,B.K. Sumitra,H. R. Krishnamurthy,K.S. Surekha,B. R. Chaya,Nanditha,Soumya",2001-07-26,192597,20,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:48:57Z,"kannada bhava geethe,sandalwood,filmi",0.663,0.748,7,-3.044,0,0.0567,0.931,0.0000587,0.16,0.882,154.008,3
0AQuAMdSxZ9m9hzGkgnc3V,"0pK1kMsD0cnIoFPL675cAa,6kzB1A0u8287PiJwpjK3mv,4Qeb8SjRcW1K9RlwxF9rqS","Aswasathin Uravidamam Kristhu","Psalms (Christian Devotional Songs)","Don Valiyavelicham,Ruben Daniel,Annie Thankachan",2015-12-27,286139,21,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:49:02Z,"malayalam worship",0.462,0.128,0,-13.284,1,0.0371,0.952,0.0000584,0.085,0.298,114.494,3
4ylc1wrKkNYFGH6HpKerzp,"2wPsNCwhEGb0KvChZ5DD52,2Bu3DMTHHdXW4jnhoWHhPa","Mandala Ulsavakalam","Ayyappa Devotional Songs Malayalam, Vol. 6","K. J. Yesudas,Chorus",1986,320000,21,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:49:05Z,"filmi,mollywood,vintage broadway",0.878,0.762,0,-6.459,1,0.084,0.585,0.0000418,0.677,0.886,113.088,4
21KvZgzOHVThy6ecGqpFxa,"2wPsNCwhEGb0KvChZ5DD52","Unarnnedthidum","Ayyappa Devotional Songs Malayalam, Vol. 6","K. J. Yesudas",1986,243408,20,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:49:07Z,"filmi,mollywood",0.79,0.752,7,-4.6,0,0.0348,0.619,0.0376,0.332,0.908,91.165,5
6ccg8nWrAkB9vG46rguvie,"75HAL44LxgiktGqiyaf1B9,7uJoFfJqsPS85gj6DnNZCD,3xiRYC7WY8nSz2xhTKmkGg,0RbhxrMa9aLsmWbNneEMLo,3nhgiSmR0ekFtCTveAuWpX,0qBLXkziuBou13bmjY5z8i,3u1EzbSdM0RRLIQn6puKoY","Bhadrapada Shuklada","Kannada Devotional Songs Vol-1","Manjula Gururaj,B.K. Sumitra,H. R. Krishnamurthy,K.S. Surekha,B. R. Chaya,Nanditha,Soumya",2001-07-26,421970,18,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:49:10Z,"kannada bhava geethe,sandalwood,filmi",0.548,0.688,5,-3.081,1,0.0331,0.745,0.00000278,0.112,0.76,136.633,4
01Tul0EVB3EmpepTYBcepp,"0udTsqVsPijUXCJgdVKYWp","Aaranee Lokathe","Kollam Shafi's Muslim Devotional Songs","Shafi Kollam",2015-07-28,367072,19,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:49:15Z,"",0.616,0.685,7,-5.834,1,0.0472,0.596,0,0.105,0.43,82.003,4
21CLREb2MR78Js1zyXUpY4,"75HAL44LxgiktGqiyaf1B9,7uJoFfJqsPS85gj6DnNZCD,3xiRYC7WY8nSz2xhTKmkGg,0RbhxrMa9aLsmWbNneEMLo,3nhgiSmR0ekFtCTveAuWpX,0qBLXkziuBou13bmjY5z8i,3u1EzbSdM0RRLIQn6puKoY","Shukravara Shbhadavara","Kannada Devotional Songs Vol-1","Manjula Gururaj,B.K. Sumitra,H. R. Krishnamurthy,K.S. Surekha,B. R. Chaya,Nanditha,Soumya",2001-07-26,234238,20,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:49:18Z,"kannada bhava geethe,sandalwood,filmi",0.653,0.779,5,-4.398,1,0.0335,0.481,0,0.111,0.7,149.735,3
5nCeKxUkYpXuv9YYC3Yrx4,"75HAL44LxgiktGqiyaf1B9,7uJoFfJqsPS85gj6DnNZCD,3xiRYC7WY8nSz2xhTKmkGg,0RbhxrMa9aLsmWbNneEMLo,3nhgiSmR0ekFtCTveAuWpX,0qBLXkziuBou13bmjY5z8i,3u1EzbSdM0RRLIQn6puKoY","Shwethambara Dharini","Kannada Devotional Songs Vol-1","Manjula Gururaj,B.K. Sumitra,H. R. Krishnamurthy,K.S. Surekha,B. R. Chaya,Nanditha,Soumya",2001-07-26,269165,19,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:49:20Z,"kannada bhava geethe,sandalwood,filmi",0.565,0.797,7,-4.264,1,0.0316,0.941,0.00000378,0.319,0.901,154.325,3
1fVAX7MPzPwr01UcJZFtaW,"2ae6PxICSOZHvjqiCcgon8","Ayyappa Abhayam","Sri Ayyappa Bhakthi Maala - Telugu Devotional Songs","S. P. Balasubrahmanyam",2012-02-15,232560,21,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:49:26Z,"filmi",0.7,0.55,4,-8.611,1,0.237,0.697,0.0596,0.394,0.677,99.249,4
